roll_call_id,bill_id,date,desc,passed,chamber,people_id,vote_text
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2444,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2449,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2451,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2456,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2457,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2459,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2464,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2472,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2476,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2478,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2480,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2481,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2483,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2488,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2491,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2493,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2497,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2501,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2507,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2519,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2526,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,2528,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,12427,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,12436,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,12442,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,12454,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,12455,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,12461,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13053,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13059,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13064,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13106,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13111,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13112,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13113,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13114,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13116,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13123,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13877,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,13969,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,16186,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,16188,Absent
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,16189,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,16191,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,16192,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,16194,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,16196,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,16197,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,16199,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,16202,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,16203,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17644,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17645,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17646,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17647,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17648,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17649,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17650,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17652,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17653,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17655,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17656,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17657,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17659,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17660,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17661,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17708,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17871,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17960,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17962,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17971,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,17989,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19185,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19188,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19189,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19191,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19192,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19193,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19194,Absent
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19304,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19306,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19442,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19443,Nay
