roll_call_id,bill_id,date,passed,chamber,people_id,name,party,state_id_x,role,district,status,state,state_id_y,bill_number,bill_type,bill_type_id,body,body_id,current_body,current_body_id
1454011,1881230,2024-06-05,0,H,2422,Paul Donato,D,21,Rep,HD-35-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2434,Ann-Margaret Ferrante,D,21,Rep,HD-05-ESS,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2440,Paul Frost,R,21,Rep,HD-07-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2441,William Galvin,D,21,Rep,HD-06-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2442,Sean Garballey,D,21,Rep,HD-23-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2443,Colleen Garry,D,21,Rep,HD-36-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2444,Susan Gifford,R,21,Rep,HD-02-PLY,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2449,Danielle Gregoire,D,21,Rep,HD-04-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2451,Patricia Haddad,D,21,Rep,HD-05-BRI,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2456,Kate Hogan,D,21,Rep,HD-03-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2457,Kevin Honan,D,21,Rep,HD-17-SUF,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2459,Bradley Jones,R,21,Rep,HD-20-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2464,Kay Khan,D,21,Rep,HD-11-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2472,David Linsky,D,21,Rep,HD-05-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2476,Ronald Mariano,D,21,Rep,HD-03-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2478,Paul McMurtry,D,21,Rep,HD-11-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2480,Aaron Michlewitz,D,21,Rep,HD-03-SUF,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2481,Michael Moran,D,21,Rep,HD-18-SUF,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2483,James Murphy,D,21,Rep,HD-04-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2488,James O'Day,D,21,Rep,HD-14-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2491,Sarah Peake,D,21,Rep,HD-04-BAR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2493,Alice Peisch,D,21,Rep,HD-14-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2497,William Pignatelli,D,21,Rep,HD-03-BER,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2501,Angelo Puppolo,D,21,Rep,HD-12-HAM,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2507,John Rogers,D,21,Rep,HD-12-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2519,Todd Smola,R,21,Rep,HD-01-HAM,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2526,Thomas Stanley,D,21,Rep,HD-09-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,2528,William Straus,D,21,Rep,HD-10-BRI,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,12427,Angelo D'Emilia,R,21,Rep,HD-08-PLY,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,12436,Marc Lombardo,R,21,Rep,HD-22-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,12442,Steven Howitt,R,21,Rep,HD-04-BRI,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,12454,David Vieira,R,21,Rep,HD-03-BAR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,12455,Donald Wong,R,21,Rep,HD-09-ESS,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,12461,Russell Holmes,D,21,Rep,HD-06-SUF,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13053,Tackey Chan,D,21,Rep,HD-02-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13059,Christopher Markey,D,21,Rep,HD-09-BRI,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13064,Mark Cusack,D,21,Rep,HD-05-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13106,Michael Finn,D,21,Rep,HD-06-HAM,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13111,Paul Schmid,D,21,Rep,HD-08-BRI,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13112,Jerald Parisella,D,21,Rep,HD-06-ESS,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13113,Denise Garlick,D,21,Rep,HD-13-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13114,Kimberly Ferguson,R,21,Rep,HD-01-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13116,Nicholas Boldyga,R,21,Rep,HD-03-HAM,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13123,John Mahoney,D,21,Rep,HD-13-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13877,Tricia Farley-Bouvier,D,21,Rep,HD-02-BER,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,13969,John Lawn,D,21,Rep,HD-10-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,16186,Jeffrey Roy,D,21,Rep,HD-10-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,16188,Marjorie Decker,D,21,Rep,HD-25-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,16189,Kenneth Gordon,D,21,Rep,HD-21-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,16191,David Rogers,D,21,Rep,HD-24-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,16192,Alan Silvia,D,21,Rep,HD-07-BRI,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,16194,Mary Keefe,D,21,Rep,HD-15-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,16196,Jonathan Zlotnik,D,21,Rep,HD-02-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,16197,Frank Moran,D,21,Rep,HD-17-ESS,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,16199,Carole Fiola,D,21,Rep,HD-06-BRI,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,16202,Daniel Donahue,D,21,Rep,HD-16-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,16203,Jay Livingstone,D,21,Rep,HD-08-SUF,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17644,Carlos Gonzalez,D,21,Rep,HD-10-HAM,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17645,Carmine Gentile,D,21,Rep,HD-13-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17646,Christine Barber,D,21,Rep,HD-34-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17647,Daniel Hunt,D,21,Rep,HD-13-SUF,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17648,David DeCoste,R,21,Rep,HD-05-PLY,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17649,David Muradian,R,21,Rep,HD-09-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17650,Donald Berthiaume,R,21,Rep,HD-05-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17652,Joseph McKenna,R,21,Rep,HD-18-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17653,Joseph McGonagle,D,21,Rep,HD-28-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17655,Mathew Muratore,R,21,Rep,HD-01-PLY,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17656,Michael Day,D,21,Rep,HD-31-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17657,Michelle DuBois,D,21,Rep,HD-10-PLY,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17659,Rady Mom,D,21,Rep,HD-18-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17660,Steven Ultrino,D,21,Rep,HD-33-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17661,Susannah Whipps Lee,I,21,Rep,HD-02-FRA,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17708,Adrian Madaro,D,21,Rep,HD-01-SUF,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17871,Daniel Ryan,D,21,Rep,HD-02-SUF,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17960,Thomas Walsh,D,21,Rep,HD-12-ESS,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17962,Gerard Cassidy,D,21,Rep,HD-09-PLY,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17971,Daniel Cahill,D,21,Rep,HD-10-ESS,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,17989,Hannah Kane,R,21,Rep,HD-11-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19185,Mike Connolly,D,21,Rep,HD-26-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19188,Natalie Higgins,D,21,Rep,HD-04-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19189,Jack Lewis,D,21,Rep,HD-07-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19191,Joan Meschino,D,21,Rep,HD-03-PLY,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19192,Brian Murray,D,21,Rep,HD-10-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19193,Chynah Tyler,D,21,Rep,HD-07-SUF,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19194,Bud Williams,D,21,Rep,HD-11-HAM,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19304,William Driscoll,D,21,Rep,HD-07-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19306,Dylan Fernandes,D,21,Rep,HD-BARNST,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19442,John Barrett,D,21,Rep,HD-01-BER,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19443,Andres Vargas,D,21,Rep,HD-03-ESS,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,19623,James Hawkins,D,21,Rep,HD-02-BRI,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21065,Natalie Blais,D,21,Rep,HD-01-FRA,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21129,David Biele,D,21,Rep,HD-04-SUF,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21130,Peter Capano,D,21,Rep,HD-11-ESS,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21131,Michelle Ciccolo,D,21,Rep,HD-15-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21132,Mindy Domb,D,21,Rep,HD-03-HAM,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21135,Richard Haggerty,D,21,Rep,HD-30-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21136,Christopher Hendricks,D,21,Rep,HD-11-BRI,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21137,Patrick Kearney,D,21,Rep,HD-04-PLY,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21138,Kathleen LaNatra,D,21,Rep,HD-12-PLY,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21139,David LeBoeuf,D,21,Rep,HD-17-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21142,Tram Nguyen,D,21,Rep,HD-18-ESS,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21143,David Robertson,D,21,Rep,HD-19-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21145,Lindsay Sabadosa,D,21,Rep,HD-01-HAM,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21147,Michael Soter,R,21,Rep,HD-08-WOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21148,Alyson Sullivan-Almeida,R,21,Rep,HD-07-PLY,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21149,Tommy Vitolo,D,21,Rep,HD-15-NOR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21150,Daniel Carey,D,21,Rep,HD-02-HAM,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21280,Norman Orrall,R,21,Rep,HD-12-BRI,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21638,Kate Lipper-Garabedian,D,21,Rep,HD-32-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21656,Carol Doherty,D,21,Rep,HD-03-BRI,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,21657,Danillo Sena,D,21,Rep,HD-37-MID,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,22681,Steven Xiarhos,R,21,Rep,HD-05-BAR,1,MA,21,H4707,B,1,H,51,H,51
1454011,1881230,2024-06-05,0,H,22730,Rob Consalvo,D,21,Rep,HD-14-SUF,1,MA,21,H4707,B,1,H,51,H,51
