source,target,weight
2404,21138,31
2404,21139,31
2404,21142,31
2404,21143,26
2404,21145,31
2404,21147,28
2404,21148,27
2404,21149,29
2404,21150,31
2404,21280,29
2404,21638,31
2404,21656,29
2404,21657,27
2404,22681,28
2404,22730,31
2404,22731,31
2404,22732,31
2404,22733,31
2404,22734,31
2404,22735,31
2404,22736,31
2404,22737,28
2404,22738,31
2404,22740,31
2404,22741,28
2404,22742,31
2404,22743,31
2404,22744,31
2404,22745,22
2404,22912,32
2404,24754,31
2404,24755,31
2404,24756,31
2404,24757,31
2404,24758,30
2404,24759,31
2404,24760,31
2404,24761,31
2404,24762,31
2404,24763,31
2404,24764,31
2404,24766,31
2404,24767,29
2404,24768,29
2404,24770,31
2404,24771,31
2404,24772,31
2404,24773,29
2404,24774,25
2404,24775,31
2404,24776,26
2404,24777,31
2404,13317,1694
2404,2493,25
2404,2528,26
2404,16194,25
2404,19189,29
2404,24947,27
2404,24948,27
2404,25189,14
2435,2445,808
2435,2463,3166
2435,2471,3188
2435,2506,3194
2435,2510,3175
2435,2531,3299
2435,2552,3194
2435,2555,3172
2435,2560,3186
2435,2566,3170
2435,2567,3185
2435,2572,3172
2435,12439,3186
2435,13058,3160
2435,13110,3193
2435,16183,3158
2435,16207,3226
2435,16256,3187
2435,17662,3194
2435,19195,3194
2435,19410,3194
2435,19433,3184
2435,21064,3194
2435,21126,3153
2435,21127,3190
2435,21141,3137
2435,21648,3194
2435,22739,3194
2435,22841,3182
2435,22842,3153
2435,23059,3191
2435,24765,3191
2435,24769,3194
2435,2577,3376
2435,13105,3078
2435,17963,3306
2435,2576,227
2435,2390,30
2435,2391,31
2435,2394,31
2435,2395,30
2435,2396,29
2435,2405,30
2435,2422,31
2435,2434,31
2435,2440,29
2435,2441,26
2435,2442,31
2435,2443,30
2435,2444,29
2435,2449,31
2435,2451,31
2435,2456,31
2435,2457,29
2435,2459,29
2435,2464,30
2435,2472,31
2435,2476,31
2435,2478,31
2435,2480,31
2435,2481,31
2435,2483,31
2435,2488,31
2435,2491,30
2435,2497,25
2435,2501,31
2435,2507,24
2435,2519,29
2435,2526,30
2435,12427,29
2435,12436,25
2435,12442,29
2435,12454,29
2435,12455,29
2435,12461,31
2435,13053,31
2435,13059,30
2435,13064,30
2435,13106,31
2435,13111,30
2435,13112,31
2435,13113,31
2435,13114,29
2435,13116,22
2435,13123,31
2435,13877,31
2435,13969,28
2435,16186,31
2435,16187,11
2435,16188,31
2435,16189,31
2435,16191,30
2435,16192,23
2435,16196,28
2435,16197,31
2435,16199,30
2435,16202,28
2435,16203,31
2435,17644,28
2435,17645,31
2435,17646,31
2435,17647,30
2435,17648,27
2435,17649,29
2435,17650,28
2435,17652,29
2435,17653,31
2435,17655,26
2435,17656,30
2435,17657,31
2435,17659,31
2435,17660,31
2435,17661,28
2435,17708,31
2435,17871,31
2435,17960,31
2435,17962,31
2435,17971,31
2435,17989,29
2435,19185,27
2435,19188,28
2435,19191,27
2435,19192,31
2435,19193,28
2435,19194,31
2435,19304,31
2435,19306,30
2435,19442,27
2435,19443,31
2435,19623,30
2435,21065,31
2435,21129,29
2435,21130,29
2435,21131,30
2435,21132,31
2435,21135,29
2435,21136,31
2435,21137,24
2435,21138,31
2435,21139,31
2435,21142,31
2435,21143,26
2435,21145,31
2435,21147,28
2435,21148,27
2435,21149,29
2435,21150,31
2435,21280,29
2435,21638,31
2435,21656,29
2435,21657,27
2435,22681,28
2435,22730,31
2435,22731,31
2435,22732,31
2435,22733,31
2435,22734,31
2435,22735,31
2435,22736,31
2435,22737,28
2435,22738,31
2435,22740,31
2435,22741,28
2435,22742,31
2435,22743,31
2435,22744,31
2435,22745,22
2435,22912,32
2435,24754,31
2435,24755,31
2435,24756,31
2435,24757,31
2435,24758,30
2435,24759,31
2435,24760,31
2435,24761,31
2435,24762,31
2435,24763,31
2435,24764,31
2435,24766,31
2435,24767,29
2435,24768,29
2435,24770,31
2435,24771,31
2435,24772,31
2435,24773,29
2435,24774,25
2435,24775,31
2435,24776,26
2435,24777,31
2435,13317,1737
2435,2493,25
2435,2528,26
2435,16194,25
2435,19189,29
2435,24947,27
2435,24948,27
2435,25189,14
2463,2445,750
2463,2471,3089
2463,2506,3091
2463,2510,3072
2463,2531,3204
2463,2552,3091
2463,2555,3083
2463,2560,3087
2463,2566,3081
2463,2567,3088
2463,2572,3083
2463,12439,3087
2463,13058,3073
2463,13110,3090
2463,16183,3057
2463,16207,3125
2463,16256,3080
